471	translate.google.com.mx	5574665384	1	2/18/13	YAJI_DBA                      
248	maps.google.de	5574737746	1	2/18/13	YAJI_DBA                      
6038	www.google.si	5574643520	1	3/26/14	SHIDLEKAR_DBA                 
3691	www.google.com.ng	5574630834	1	3/26/14	SHIDLEKAR_DBA                 
2957	www.google.kz	5574674899	1	2/18/13	YAJI_DBA                      
5243	www.google.jo	5575042380	1	3/26/14	SHIDLEKAR_DBA                 
1594	www.google.com.bh	5574636783	1	2/18/13	YAJI_DBA                      
5180	www.google.it	5574649640	1	3/26/14	SHIDLEKAR_DBA                 
2389	www.google.com.tr	5574775120	1	2/18/13	YAJI_DBA                      
1918	www.google.com.kh	5574642932	1	2/18/13	YAJI_DBA                      
3754	www.google.com.ni	5574859090	1	3/26/14	SHIDLEKAR_DBA                 
4160	www.google.com.sg	5574753751	1	3/26/14	SHIDLEKAR_DBA                 
4772	www.google.ge	5574670702	1	3/26/14	SHIDLEKAR_DBA                 
4061	www.google.com.qa	5574631219	1	3/26/14	SHIDLEKAR_DBA                 
5975	www.google.ru	5574910768	1	3/26/14	SHIDLEKAR_DBA                 
2124	www.google.com.np	5574639304	1	2/18/13	YAJI_DBA                      
3550	www.google.com.ly	5574859811	1	3/26/14	SHIDLEKAR_DBA                 
2080	www.google.com.ng	5574649121	1	2/18/13	YAJI_DBA                      
1428	www.google.co.ve	5574630747	1	2/18/13	YAJI_DBA                      
755	translate.google.pl	5574765554	1	2/18/13	YAJI_DBA                      
5712	www.google.no	5574646209	1	3/26/14	SHIDLEKAR_DBA                 
4080	www.google.com.qa	5574856753	1	3/26/14	SHIDLEKAR_DBA                 
3365	www.google.se	5574636783	1	2/18/13	YAJI_DBA                      
3733	www.google.com.ni	5574631219	1	3/26/14	SHIDLEKAR_DBA                 
2023	www.google.com.mt	5574966629	1	2/18/13	YAJI_DBA                      
6040	www.google.si	5574646209	1	3/26/14	SHIDLEKAR_DBA                 
3447	www.google.tn	5574775120	1	2/18/13	YAJI_DBA                      
473	translate.google.com.mx	5574674899	1	2/18/13	YAJI_DBA                      
551	translate.google.com.vn	5574966629	1	2/18/13	YAJI_DBA                      
4385	www.google.com.uy	5575051511	1	3/26/14	SHIDLEKAR_DBA                 
3348	www.google.ru	5574674899	1	2/18/13	YAJI_DBA                      
1714	www.google.com.co	5574673347	1	2/18/13	YAJI_DBA                      
166	images.google.it	5574634750	1	2/18/13	YAJI_DBA                      
877	www.google.al	5574633013	1	2/18/13	YAJI_DBA                      
6101	www.google.sk	5575033235	1	3/26/14	SHIDLEKAR_DBA                 
715	translate.google.nl	5574630747	1	2/18/13	YAJI_DBA                      
1960	www.google.com.lb	5574634750	1	2/18/13	YAJI_DBA                      
4038	www.google.com.py	5574852455	1	3/26/14	SHIDLEKAR_DBA                 
5651	www.google.mv	5575041168	1	3/26/14	SHIDLEKAR_DBA                 
3346	www.google.ru	5574665384	1	2/18/13	YAJI_DBA                      
450	translate.google.com.hk	5574674899	1	2/18/13	YAJI_DBA                      
4692	www.google.fi	5574737088	1	3/26/14	SHIDLEKAR_DBA                 
2896	www.google.is	5574807392	1	2/18/13	YAJI_DBA                      
816	translate.googleusercontent.com	5574665384	1	2/18/13	YAJI_DBA                      
2978	www.google.lk	5574665384	1	2/18/13	YAJI_DBA                      
2879	www.google.is	5574634006	1	2/18/13	YAJI_DBA                      
1308	www.google.co.ke	5574775120	1	2/18/13	YAJI_DBA                      
4835	www.google.gp	5575050289	1	3/26/14	SHIDLEKAR_DBA                 
